name,submitted_name,homepage_url,jurisdiction_type,state_iso,municipality,county_fips,county_name,lat,lng,defunct_year,airtable_uid
Clymer Borough Police Department - PA,Clymer Borough Police Department,,local,PA,Clymer,42063,['Indiana'],,,,rec004VuNIxFnbIHj
California Department of Insurance - Investigations Division - CA,California Department of Insurance - Investigations Division,http://www.insurance.ca.gov/0300-fraud/0200-invest-division-overview/,local,CA,,,,,,,rec00J9IdWRry9LHC
Custer County Sheriff's Office - MT,Custer County Sheriff's Office,https://custercountymt.com/emergency-enforcement/sheriff,county,MT,Miles City,30017,['Custer'],46.407623,-105.84503,,rec00RgFAPxV31kPC
Knightsville Police Department - IN,Knightsville Police Department,,local,IN,Brazil,18021,['Clay'],39.52299,-87.12565,,rec00hvYkMJzEja7y
Big Fork City Police Department - MN,Big Fork City Police Department,,local,MN,Bigfork,27061,['Itasca'],47.74444,-93.65389,,rec00mkGrVHLIyJmh
Hodgenville Police Department - KY,Hodgenville Police Department,https://hodgenvillepd.com/,local,KY,Hodgenville,21123,['Larue'],37.57249,-85.74109,,rec00swjJqZ681lDy
Mississippi State University Campus Police Department - MS,Mississippi State University Campus Police Department,,school,MS,Mississippi State,28105,['Oktibbeha'],,,,rec01E6uzi3c1XZZw
Hillsboro Police Department - TX,Hillsboro Police Department,https://www.hillsborotx.org/departments/Police,local,TX,Hillsboro,48217,['Hill'],32.01613,-97.1304,,rec01HSI7tg5o2T38
Valley Police Department - AL,Valley Police Department,,local,AL,Valley,01017,['Chambers'],32.8173,-85.17449,,rec01Vd4MkR4lVh65
North Ogden Police Department - UT,North Ogden Police Department,https://www.northogdencity.com/police,local,UT,Ogden,49057,['Weber'],41.305107,-111.96483,,rec01Vz4EUskFZXTd
Wayne Community College Campus Police – Goldsboro - NC,Wayne Community College Campus Police – Goldsboro,https://www.waynecc.edu/safe-wayne/campus-police/,school,NC,Goldsboro,,,,,,rec01jnUXOfeT4RKy
Holly Springs Police Department - GA,Holly Springs Police Department,https://hollyspringsga.us/departments/police/index.php,local,GA,Canton,13057,['Cherokee'],34.168484,-84.5044,,rec01vyAwywkHAILM
Greenfield Police Department - OK,Greenfield Police Department,https://ibegin.com/directory/us/oklahoma/watonga/greenfield-police-dept-205-n-burford-ave/,local,OK,Watonga,40011,['Blaine'],35.84602,-98.41093,,rec02BNvK1TgQcc4c
Chrisman Police Department - IL,Chrisman Police Department,https://www.countyoffice.org/chrisman-police-department-chrisman-il-def/,local,IL,Chrisman,17045,['Edgar'],39.804565,-87.68024,,rec02Fd8BTAIWsIFE
Cookeville Police Department - TN,Cookeville Police Department,,local,TN,Cookeville,47141,['Putnam'],36.16382,-85.50528,,rec02M14eqqoXNkcP
Ellsworth Police Department - MI,Ellsworth Police Department,http://villageofellsworthmi.com/ellsworth-police-department/,local,MI,Ellsworth,26009,['Antrim'],45.16565,-85.24567,,rec02THK5STDVKeJL
Duke Power Company Police - Huntersville - NC,Duke Power Company Police - Huntersville,,local,NC,Huntersville,37119,['Mecklenburg'],35.397816,-80.866905,,rec02U33vCRmx8FqW
Los Angeles World Airports Police - CA,Los Angeles World Airports Police,,local,CA,Los Angeles,06037,['Los Angeles'],,,,rec02Wxhtb7Bflhqb
